City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,timbuktu,16.7735,-3.0074,39.42,21,67,1.24,ML,1694970047
225,dikili,39.071,26.8902,25.9,55,3,10.09,TR,1694970123
226,sosnovyy bor,59.9,29.1167,13.62,73,74,7.8,RU,1694970123
227,perevolotskiy,51.8763,54.1938,17.44,50,100,3.46,RU,1694970067
228,the pas,53.8251,-101.2541,21.69,35,81,4.7,CA,1694970123
229,goundam,16.4145,-3.6708,39.14,23,75,2.09,ML,1694970124
230,trebechovice pod orebem,50.201,15.9922,24.89,75,4,0.45,CZ,1694970077
231,great bend,38.3645,-98.7648,24.46,67,0,4.12,US,1694970124
232,xai-xai,-25.0519,33.6442,20.1,67,59,5.48,MZ,1694970124
233,lensk,60.7253,114.9278,3.6,72,86,5.3,RU,1694970013
234,mindelo,16.8901,-24.9804,29.75,45,20,10.8,CV,1694970124
235,cody,44.5263,-109.0565,25.23,29,1,4.02,US,1694970124
236,sarmiento,-45.5882,-69.07,3.41,94,100,3.32,AR,1694970057
237,jodhpur,26.2867,73.03,27.3,75,83,3.79,IN,1694970124
238,revuca,48.6835,20.1173,20.48,92,31,0.39,SK,1694970057
239,fortuna,40.5982,-124.1573,14.19,97,100,0.0,US,1694970125
240,caleta de carquin,-11.0925,-77.6267,21.16,77,93,4.38,PE,1694970125
241,altayskoye,51.9533,85.3325,12.08,90,67,1.62,RU,1694970125
242,ploneour-lanvern,47.9,-4.2833,22.18,73,75,3.09,FR,1694970125
243,berdyansk,46.7503,36.7944,19.11,52,0,2.94,UA,1694970125
244,swift current,50.2834,-107.8014,26.24,16,0,5.09,CA,1694970125
245,arkhangel'sk,64.5401,40.5433,11.61,85,100,4.41,RU,1694969880
246,karachi,24.9056,67.0822,28.9,74,75,3.09,PK,1694969597
247,corumba,-19.0092,-57.6533,40.97,18,0,4.62,BR,1694970126
248,gadzhiyevo,69.2551,33.3362,7.58,80,100,2.25,RU,1694970126
249,flekkefjord,58.2971,6.6607,15.53,65,12,6.34,NO,1694970126
250,novo aripuana,-5.1206,-60.3797,37.29,30,22,2.19,BR,1694970126
251,longavi,-35.9667,-71.6833,12.65,62,11,3.48,CL,1694970127
252,zhaotong,27.3167,103.7167,16.3,94,89,1.62,CN,1694969912
253,abingdon,51.6711,-1.2828,20.19,93,100,3.6,GB,1694969965
254,kursenai,55.985,22.9189,19.14,80,36,2.16,LT,1694970023
255,udachny,66.4167,112.4,-4.99,94,48,2.41,RU,1694970127
256,turochak,52.2576,87.1224,11.31,93,92,0.64,RU,1694970029
257,san fernando de apure,7.8878,-67.4724,32.49,54,100,2.07,VE,1694970128
258,alofi,-19.0595,-169.9187,23.56,75,69,10.65,NU,1694970128
259,kourou,5.1552,-52.6478,33.03,54,81,5.72,GF,1694970128
